😀	emj_grinning_face
🐔	emj_chicken
🐓	emj_rooster
🐣	emj_hatching_chick
🐤	emj_baby_chick
🐥	emj_front_facing_baby_chick
🐦	emj_bird
🐧	emj_penguin
🕊	emj_dove
🦅	emj_eagle
🦆	emj_duck
🦢	emj_swan
🦉	emj_owl
🦤	emj_dodo
🪶	emj_feather
🦩	emj_flamingo
🦚	emj_peacock
🦜	emj_parrot
🐸	emj_frog
🐊	emj_crocodile
🐢	emj_turtle
🦎	emj_lizard
🐍	emj_snake
🐲	emj_dragon_face
🐉	emj_dragon
🦕	emj_sauropod
🦖	emj_t_rex
🐳	emj_spouting_whale
🐋	emj_whale
🐬	emj_dolphin
🦭	emj_seal
🐟	emj_fish
🐠	emj_tropical_fish
🐡	emj_blowfish
🦈	emj_shark
🐙	emj_octopus
🐚	emj_spiral_shell
🐌	emj_snail
🦋	emj_butterfly
🐛	emj_bug
🐜	emj_ant
🐝	emj_honeybee
🪲	emj_beetle
🐞	emj_lady_beetle
🦗	emj_cricket
🪳	emj_cockroach
🕷	emj_spider
🕸	emj_spider_web
🦂	emj_scorpion
🦟	emj_mosquito
🪰	emj_fly
🪱	emj_worm
🦠	emj_microbe
💐	emj_bouquet
🌸	emj_cherry_blossom
💮	emj_white_flower
🏵	emj_rosette
🌹	emj_rose
🥀	emj_wilted_flower
🌺	emj_hibiscus
🌻	emj_sunflower
🌼	emj_blossom
🌷	emj_tulip
🌱	emj_seedling
🪴	emj_potted_plant
🌲	emj_evergreen_tree
🌳	emj_deciduous_tree
🌴	emj_palm_tree
🌵	emj_cactus
🌾	emj_sheaf_of_rice
🌿	emj_herb
☘	emj_shamrock
🍀	emj_four_leaf_clover
🍁	emj_maple_leaf
🍂	emj_fallen_leaf
🍃	emj_leaf_fluttering_in_wind
🍇	emj_grapes
🍈	emj_melon
🍉	emj_watermelon
🍊	emj_tangerine
🍋	emj_lemon
🍌	emj_banana
🍍	emj_pineapple
🥭	emj_mango
🍎	emj_red_apple
🍏	emj_green_apple
🍐	emj_pear
🍑	emj_peach
🍒	emj_cherries
🍓	emj_strawberry
🫐	emj_blueberries
🥝	emj_kiwi_fruit
🍅	emj_tomato
🫒	emj_olive
🥥	emj_coconut
🥑	emj_avocado
🍆	emj_eggplant
🥔	emj_potato
🥕	emj_carrot
🌽	emj_ear_of_corn
🌶	emj_hot_pepper
🫑	emj_bell_pepper
🥒	emj_cucumber
🥬	emj_leafy_green
🥦	emj_broccoli
🧄	emj_garlic
🧅	emj_onion
🍄	emj_mushroom
🥜	emj_peanuts
🌰	emj_chestnut
🍞	emj_bread
🥐	emj_croissant
🥖	emj_baguette_bread
🫓	emj_flatbread
🥨	emj_pretzel
🥯	emj_bagel
🥞	emj_pancakes
🧇	emj_waffle
🧀	emj_cheese_wedge
🍖	emj_meat_on_bone
🍗	emj_poultry_leg
🥩	emj_cut_of_meat
🥓	emj_bacon
🍔	emj_hamburger
🍟	emj_french_fries
🍕	emj_pizza
🌭	emj_hot_dog
🥪	emj_sandwich
🌮	emj_taco
🌯	emj_burrito
🫔	emj_tamale
🥙	emj_stuffed_flatbread
🧆	emj_falafel
🥚	emj_egg
🍳	emj_cooking
🥘	emj_shallow_pan_of_food
🍲	emj_pot_of_food
🫕	emj_fondue
🥣	emj_bowl_with_spoon
🥗	emj_green_salad
🍿	emj_popcorn
🧈	emj_butter
🧂	emj_salt
🥫	emj_canned_food
🍱	emj_bento_box
🍘	emj_rice_cracker
🍙	emj_rice_ball
🍚	emj_cooked_rice
🍛	emj_curry_rice
🍜	emj_steaming_bowl
🍝	emj_spaghetti
🍠	emj_roasted_sweet_potato
🍢	emj_oden
🍣	emj_sushi
🍤	emj_fried_shrimp
🍥	emj_fish_cake_with_swirl
🥮	emj_moon_cake
🍡	emj_dango
🥟	emj_dumpling
🥠	emj_fortune_cookie
🥡	emj_takeout_box
🦀	emj_crab
🦞	emj_lobster
🦐	emj_shrimp
🦑	emj_squid
🦪	emj_oyster
🍦	emj_soft_ice_cream
🍧	emj_shaved_ice
🍨	emj_ice_cream
🍩	emj_doughnut
🍪	emj_cookie
🎂	emj_birthday_cake
🍰	emj_shortcake
🧁	emj_cupcake
🥧	emj_pie
🍫	emj_chocolate_bar
🍬	emj_candy
🍭	emj_lollipop
🍮	emj_custard
🍯	emj_honey_pot
🍼	emj_baby_bottle
🥛	emj_glass_of_milk
☕	emj_hot_beverage
🫖	emj_teapot
🍵	emj_teacup_without_handle
🍶	emj_sake
🍾	emj_bottle_with_popping_cork
🍷	emj_wine_glass
🍸	emj_cocktail_glass
🍹	emj_tropical_drink
🍺	emj_beer_mug
🍻	emj_clinking_beer_mugs
🥂	emj_clinking_glasses
🥃	emj_tumbler_glass
🥤	emj_cup_with_straw
🧋	emj_bubble_tea
🧃	emj_beverage_box
🧉	emj_mate
🧊	emj_ice
🥢	emj_chopsticks
🍽	emj_fork_and_knife_with_plate
🍴	emj_fork_and_knife
🥄	emj_spoon
🔪	emj_kitchen_knife
🏺	emj_amphora
🌍	emj_globe_showing_europe_africa
🌎	emj_globe_showing_americas
🌏	emj_globe_showing_asia_australia
🌐	emj_globe_with_meridians
🗺	emj_world_map
🗾	emj_map_of_japan
🧭	emj_compass
🏔	emj_snow_capped_mountain
⛰	emj_mountain
🌋	emj_volcano
🗻	emj_mount_fuji
🏕	emj_camping
🏖	emj_beach_with_umbrella
🏜	emj_desert
🏝	emj_desert_island
🏞	emj_national_park
🏟	emj_stadium
🏛	emj_classical_building
🏗	emj_building_construction
🧱	emj_brick
🪨	emj_rock
🪵	emj_wood
🛖	emj_hut
🏘	emj_houses
🏚	emj_derelict_house
🏠	emj_house
🏡	emj_house_with_garden
🏢	emj_office_building
🏣	emj_japanese_post_office
🏤	emj_post_office
🏥	emj_hospital
🏦	emj_bank
🏨	emj_hotel
🏩	emj_love_hotel
🏪	emj_convenience_store
🏫	emj_school
🏬	emj_department_store
🏭	emj_factory
🏯	emj_japanese_castle
🏰	emj_castle
💒	emj_wedding
🗼	emj_tokyo_tower
🗽	emj_statue_of_liberty
⛪	emj_church
🕌	emj_mosque
🛕	emj_hindu_temple
🕍	emj_synagogue
⛩	emj_shinto_shrine
🕋	emj_kaaba
